Source;Target;Student;Session
5;1;e173;39107ed9964fc528c3b5c0b331fd3453
1;5;e173;39107ed9964fc528c3b5c0b331fd3453
5;4;e173;7049b3f7f409c5a5eb2f933d928bd950
0;1;e173;6535c4b63fabebd0669966a2c1694081
1;1;e173;6535c4b63fabebd0669966a2c1694081
1;1;e173;6535c4b63fabebd0669966a2c1694081
1;1;e173;6535c4b63fabebd0669966a2c1694081
1;1;e173;6535c4b63fabebd0669966a2c1694081
1;3;e173;6535c4b63fabebd0669966a2c1694081
3;5;e173;6535c4b63fabebd0669966a2c1694081
