SectionSource;SectionTarget;Session;Source;Student;Target
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;e46eaefb362054211a5d138b989eec96;Quiz;e386;Other
df13b37d70964faf88cfb44b7a36ac55;1d7d5a6b311445069d3cfc4dd0821b98;34805a48e80b946fb8d4809a217a3b2a;Other;e387;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;b04786aaf7675eb533177d7c46ec2ed2;Signin;e387;Video
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;b04786aaf7675eb533177d7c46ec2ed2;Video;e387;Other
df13b37d70964faf88cfb44b7a36ac55;1d7d5a6b311445069d3cfc4dd0821b98;47b111ccdf58aa20913a7f080e380e85;Other;e387;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;47b111ccdf58aa20913a7f080e380e85;Video;e387;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;47b111ccdf58aa20913a7f080e380e85;Quiz;e387;Video
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;47b111ccdf58aa20913a7f080e380e85;Video;e387;Other
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;42c965c8763bb774b113a05a7687da66;Quiz;e388;Other
df13b37d70964faf88cfb44b7a36ac55;1d7d5a6b311445069d3cfc4dd0821b98;ccf96478cd58d9f2c650617acbe6a6af;Other;e120;Signout
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7c7ac4e990db685428662ba87759dc9c;Signin;e120;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;7c7ac4e990db685428662ba87759dc9c;Video;e120;Video
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;7c7ac4e990db685428662ba87759dc9c;Video;e120;Other
df13b37d70964faf88cfb44b7a36ac55;1d7d5a6b311445069d3cfc4dd0821b98;f357967dd75f1da09585a76f6ba3fa47;Other;e120;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;f357967dd75f1da09585a76f6ba3fa47;Video;e120;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;f357967dd75f1da09585a76f6ba3fa47;Quiz;e120;Video
1d7d5a6b311445069d3cfc4dd0821b98;df13b37d70964faf88cfb44b7a36ac55;f357967dd75f1da09585a76f6ba3fa47;Video;e120;Other
1d7d5a6b311445069d3cfc4dd0821b98;5b849ceb504146e9b2e8a9261f6e1537;2a3e8b6e0dcbc01c761e61f2e0b6a478;Quiz;e244;Other
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;e8eb9e604843f41d40ddab74bcf8b9f8;Other;e244;Video
1d7d5a6b311445069d3cfc4dd0821b98;1d7d5a6b311445069d3cfc4dd0821b98;e8eb9e604843f41d40ddab74bcf8b9f8;Video;e244;Video
