SectionSource;SectionTarget;Session;Source;Student;Target
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;adb65aaf410b1f1c522047eb9cb7e081;Other;e363;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;5b0aba7eedaa4ae4e9ee47854bd7a7a7;Signin;e363;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;5b0aba7eedaa4ae4e9ee47854bd7a7a7;Quiz;e363;Other
;3136d5e86b6a4345a1a8081d155f8131;6bbc288487af3ab7701a16f714cf01ea;Other;e272;Quiz
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;da414511b2930b255a16a8f997a3d7b3;Other;e373;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;65ca2db5c1894fa5ce3c770efb3b4fa1;Quiz;e373;Other
;3136d5e86b6a4345a1a8081d155f8131;d0354ea0d444d1f75bbd3a85d256a8bc;Other;e167;Quiz
df13b37d70964faf88cfb44b7a36ac55;3136d5e86b6a4345a1a8081d155f8131;a4a40cdad69e7930de4cdda355117ef7;Other;e23;Quiz
1d7d5a6b311445069d3cfc4dd0821b98;3136d5e86b6a4345a1a8081d155f8131;323bc395348a7fc03a8af109fe8729ab;Other;e173;Quiz
3136d5e86b6a4345a1a8081d155f8131;;323bc395348a7fc03a8af109fe8729ab;Quiz;e173;Other
da4c98ec26234ffebf5213cb9bf4dad3;3136d5e86b6a4345a1a8081d155f8131;c0ececc8d177abf4578e134d8a9e2180;Other;e179;Signout
3136d5e86b6a4345a1a8081d155f8131;3136d5e86b6a4345a1a8081d155f8131;47e2752643d1e3582c77d928ce9a03de;Signin;e179;Quiz
3136d5e86b6a4345a1a8081d155f8131;d2f700a5bb0e49c187a940ddd4e19590;47e2752643d1e3582c77d928ce9a03de;Quiz;e179;Other
d2f700a5bb0e49c187a940ddd4e19590;3136d5e86b6a4345a1a8081d155f8131;3ba39a52ceb9d44befc235ce772573f7;Other;e178;Quiz
3136d5e86b6a4345a1a8081d155f8131;1d7d5a6b311445069d3cfc4dd0821b98;3ba39a52ceb9d44befc235ce772573f7;Quiz;e178;Other
