SectionSource;SectionTarget;Session;Source;Student;Target
1d7d5a6b311445069d3cfc4dd0821b98;5b849ceb504146e9b2e8a9261f6e1537;2a3e8b6e0dcbc01c761e61f2e0b6a478;Other;e244;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;459a6297591a1be95aaf2537f33cbe3b;Signin;e244;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;459a6297591a1be95aaf2537f33cbe3b;Video;e244;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;e8eb9e604843f41d40ddab74bcf8b9f8;Signin;e244;Video
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;e8eb9e604843f41d40ddab74bcf8b9f8;Video;e244;Other
;5b849ceb504146e9b2e8a9261f6e1537;49e6ad7c5adc7c9ebb8bfbf29ccb8b0d;Other;e240;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;57a80f075184383d678c079190975444;Signin;e240;Quiz
5b849ceb504146e9b2e8a9261f6e1537;;57a80f075184383d678c079190975444;Quiz;e240;Other
;5b849ceb504146e9b2e8a9261f6e1537;57a80f075184383d678c079190975444;Other;e240;Quiz
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;57a80f075184383d678c079190975444;Quiz;e240;Quiz
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;57a80f075184383d678c079190975444;Quiz;e240;Other
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;fca0a38989c5b1b5f7ef374d40be325b;Quiz;e409;Video
5b849ceb504146e9b2e8a9261f6e1537;;fca0a38989c5b1b5f7ef374d40be325b;Video;e409;Other
fb3e939ba21340019f60609649411b72;5b849ceb504146e9b2e8a9261f6e1537;fca0a38989c5b1b5f7ef374d40be325b;Other;e409;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;fca0a38989c5b1b5f7ef374d40be325b;Video;e409;Video
5b849ceb504146e9b2e8a9261f6e1537;df13b37d70964faf88cfb44b7a36ac55;fca0a38989c5b1b5f7ef374d40be325b;Video;e409;Other
;5b849ceb504146e9b2e8a9261f6e1537;6974f3941bed97a619299610a8cacaa1;Other;e232;Video
5b849ceb504146e9b2e8a9261f6e1537;df13b37d70964faf88cfb44b7a36ac55;6974f3941bed97a619299610a8cacaa1;Video;e232;Other
1d7d5a6b311445069d3cfc4dd0821b98;5b849ceb504146e9b2e8a9261f6e1537;3745cac2724730f7b3c51685d9a44c66;Other;e232;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;4bca0598123f73a0e4b74604afa2503d;Signin;e232;Quiz
5b849ceb504146e9b2e8a9261f6e1537;1d7d5a6b311445069d3cfc4dd0821b98;4bca0598123f73a0e4b74604afa2503d;Quiz;e232;Other
1d7d5a6b311445069d3cfc4dd0821b98;5b849ceb504146e9b2e8a9261f6e1537;c6bfd0472e161e31a4da16b27abb9a96;Other;e232;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;6974f3941bed97a619299610a8cacaa1;Signin;e232;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;6974f3941bed97a619299610a8cacaa1;Video;e232;Video
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;6974f3941bed97a619299610a8cacaa1;Video;e232;Quiz
5b849ceb504146e9b2e8a9261f6e1537;;6974f3941bed97a619299610a8cacaa1;Quiz;e232;Other
d2f700a5bb0e49c187a940ddd4e19590;5b849ceb504146e9b2e8a9261f6e1537;51dacd89454bc6721d62714bf02c2ca6;Other;e233;Signout
5b849ceb504146e9b2e8a9261f6e1537;5b849ceb504146e9b2e8a9261f6e1537;da4a6d06911337f9ab5b3c69c0bb5e42;Signin;e233;Video
